

times in msec
 clock   self+sourced   self:  sourced script
 clock   elapsed:              other lines

000.025  000.025: --- NVIM STARTING ---
000.137  000.112: event init
000.278  000.140: early init
000.346  000.069: locale set
000.394  000.047: init first window
000.981  000.587: inits 1
001.120  000.139: window checked
001.129  000.009: parsing arguments
002.115  000.283  000.283: require('vim.shared')
002.717  000.234  000.234: require('vim._meta')
002.722  000.592  000.359: require('vim._editor')
002.726  000.975  000.100: require('vim._init_packages')
002.736  000.632: init lua interpreter
002.809  000.073: expanding arguments
002.858  000.050: inits 2
003.101  000.242: init highlight
003.103  000.002: waiting for UI
006.460  003.357: done waiting for UI
006.502  000.042: init screen for UI
006.820  000.318: init default mappings
006.857  000.037: init default autocommands
012.289  000.113  000.113: sourcing C:\Program Files\nvim-win64\share\nvim\runtime\ftplugin.vim
013.099  000.062  000.062: sourcing C:\Program Files\nvim-win64\share\nvim\runtime\indent.vim
027.665  014.054  014.054: require('impatient')
027.785  000.109  000.109: require('core.globals')
028.091  000.066  000.066: require('packer.util')
028.225  000.296  000.230: require('packer')
028.440  000.210  000.210: require('packer.log')
028.619  000.058  000.058: require('packer.async')
028.756  000.070  000.070: require('packer.result')
028.765  000.140  000.070: require('packer.jobs')
028.771  000.281  000.083: require('packer.plugin_utils')
028.912  000.087  000.087: require('packer.snapshot')
029.111  001.321  000.447: require('core.packer')
029.254  000.059  000.059: require('core.keymap')
029.392  000.024  000.024: require('vim.F')
029.423  000.164  000.140: require('vim.diagnostic')
029.474  000.044  000.044: require('vim.keymap')
029.715  000.081  000.081: require('lua-dev')
029.841  000.061  000.061: require('cmp_nvim_lsp.source')
029.846  000.126  000.065: require('cmp_nvim_lsp')
030.293  000.166  000.166: require('vim.lsp.log')
030.675  000.377  000.377: require('vim.lsp.protocol')
031.151  000.179  000.179: require('vim.lsp._snippet')
031.247  000.085  000.085: require('vim.highlight')
031.266  000.584  000.319: require('vim.lsp.util')
031.286  001.243  000.116: require('vim.lsp.handlers')
031.517  000.225  000.225: require('vim.lsp.rpc')
031.616  000.093  000.093: require('vim.lsp.sync')
031.758  000.136  000.136: require('vim.lsp.buf')
031.898  000.135  000.135: require('vim.lsp.diagnostic')
031.986  000.084  000.084: require('vim.lsp.codelens')
032.069  002.219  000.304: require('vim.lsp')
032.175  000.075  000.075: require('lua-dev.config')
032.353  000.058  000.058: require('lua-dev.util')
032.359  000.133  000.074: require('lua-dev.lsp')
032.540  000.178  000.178: require('lspconfig.util')
032.629  000.080  000.080: require('lua-dev.sumneko')
042.660  000.061  000.061: require('mason-core.path')
042.681  000.142  000.081: require('mason.settings')
042.843  000.083  000.083: require('mason-core.functional')
043.002  000.051  000.051: require('mason-core.functional.data')
043.009  000.121  000.069: require('mason-core.functional.function')
043.081  000.056  000.056: require('mason-core.functional.relation')
043.145  000.055  000.055: require('mason-core.functional.logic')
043.158  000.473  000.158: require('mason-core.platform')
043.162  000.709  000.095: require('mason')
043.385  000.064  000.064: require('mason-core.functional.list')
043.407  000.177  000.114: require('mason.api.command')
043.567  000.090  000.090: require('mason-core.log')
043.573  000.162  000.072: require('mason-lspconfig')
043.636  000.058  000.058: require('mason-lspconfig.settings')
043.723  000.067  000.067: require('mason-lspconfig.lspconfig_hook')
043.806  000.068  000.068: require('mason-lspconfig.win-exepath-compat')
043.942  000.053  000.053: require('mason-core.functional.table')
043.983  000.172  000.119: require('mason-lspconfig.mappings.server')
044.173  000.063  000.063: require('mason-core.async')
044.230  000.052  000.052: require('mason-core.async.uv')
044.368  000.318  000.203: require('mason-core.fs')
044.438  000.065  000.065: require('mason-core.optional')
044.500  000.057  000.057: require('mason-core.EventEmitter')
044.632  000.126  000.126: require('mason-registry.index')
044.643  000.656  000.090: require('mason-registry')
044.706  000.058  000.058: require('mason-lspconfig.server_config_extensions')
044.781  000.071  000.071: require('lspconfig.configs')
044.848  000.062  000.062: require('lspconfig.server_configurations.omnisharp')
045.041  000.055  000.055: require('mason-core.notify')
045.102  000.055  000.055: require('mason-core.functional.number')
045.128  000.216  000.105: require('mason-lspconfig.api.command')
045.369  000.055  000.055: require('cmp.utils.debug')
